CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,wei4_count,wei4_grammar_count,bei_count,bei_grammar_count,hezhe_count,hedengren_count,cun_count,tian_count,sixiang_count,di_count,di_sense_count,shigu_count,shigu_sense_count,yiqie_count,yiqie_sense_count,error,notes
放光經,T 221 (17),15779,False,False,False,False,0,64,4,6,25,1,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (18),14336,False,False,False,False,1,42,3,13,9,2,9,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (19),13625,False,False,False,False,0,58,8,27,24,3,28,6,6,1,3,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (20),13636,False,False,False,False,16,51,5,3,6,4,3,8,3,1,1,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (1),16418,False,True,False,False,4,42,17,15,2,6,8,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (2),17473,False,False,False,False,4,19,28,43,6,12,12,23,14,0,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (3),10743,False,False,False,False,2,5,26,17,1,2,16,62,61,0,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (4),12843,False,False,False,False,2,28,19,22,10,0,20,32,22,1,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (5),12410,False,False,False,False,0,14,15,59,1,8,36,66,58,13,10,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (6),14604,False,False,False,False,0,5,20,49,0,8,18,290,270,8,6,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (7),10498,False,False,False,False,0,1,2,21,0,0,20,193,201,1,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (8),9247,False,False,False,False,2,13,10,2,0,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (9),11234,False,False,False,False,6,11,28,6,3,17,8,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,,
光讚經,T 222 (10),11388,False,False,False,False,2,14,9,18,2,1,11,36,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (1),16681,False,True,False,False,4,5,1,9,0,1,9,15,11,4,1,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (2),13500,False,False,False,False,4,0,3,1,0,1,2,72,70,1,1,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (2),15269,False,False,False,False,0,0,4,2,0,0,2,97,94,0,0,0,0,0,0,0,0,0,0,0,0,0,,
賢劫經,T 425 (4),11552,False,False,False,False,0,1,1,0,0,0,0,70,70,0,0,0,0,0,0,0,0,0,0,0,0,0,,
