length_average,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000,attribution_analysis
6032.6666666666652,0.022101889711570337,0.07735661399049619,0.24312078682727373,0.088407558846281348,0.92827936788595433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,An Shigao
172386.0,0.058009351107398514,0.13342150754701659,0.069611221328878217,0.18562992354367525,0.21463459909737451,0.13922244265775643,0.0,0.0,0.046407480885918811,0.0,0.0,0.0,0.0,0.0,Baoyun
129191.33333333333,0.18706105156692657,0.091595411456908873,0.010320609741623535,0.0774045730621765,0.70954191973661807,0.050312972490414734,0.0,0.0,0.01290076217702942,0.0,0.0,0.0,0.0,0.0,Buddhabhadra
292859.0,0.0785360873321291,0.52015930305482616,0.20032393290514092,0.24129928281755614,0.55658183631030622,0.21625879120441349,0.0,0.0,0.320973574313919,0.0,0.0,0.0,0.0,0.0,Buddhayaśas
270108.0,0.35171116738489788,0.58865342751788174,0.14808891258311491,0.71823122602810729,1.5253157996060835,0.070342233476979585,0.0,0.0,0.38132894990152089,0.0,0.0,0.0,0.0,0.0,Buddhayaśas and Zhu Fonian
752930.0,0.0026562894292962162,3.0454358306881115,0.026562894292962162,0.89384139295817677,2.1330004117248618,0.02125031543436973,0.0,0.0,0.095626419454663769,0.0,0.0,0.0,0.0,0.0,Daotai and Buddhavarman
200883.375,0.62162934090489075,0.26072341725640563,0.050402378992288437,0.4337093599706795,0.780925748584222,0.0522691337697806,0.0,0.0,0.041068605104827613,0.0,0.0,0.0,0.0,0.0,Dharmakṣema
19648.75,0.050893822762262231,0.3817036707169667,0.063617278452827788,0.36898021502640116,0.038170367071696666,0.012723455690565558,0.0,0.0,0.025446911381131115,0.0,0.0,0.0,0.0,0.0,Dharmamitra
526798.0,0.37205911943477388,0.32839912072559119,0.22209651517279869,0.7725921510711885,2.1943895003397889,0.04176173789573992,0.0,0.0,0.19362260297115783,0.0,0.0,0.0,0.0,0.0,Dharmanandi and Zhu Fonian
24174.746031746035,0.39264377295209679,0.16283554463565217,0.22061589918378682,0.84700747008061017,2.3755604858539905,0.07550841787540323,0.0,0.0,0.00984892407070477,0.0013131898760939693,0.0,0.0,0.0,0.0,Dharmarakṣa
31123.0,0.32130578671721882,0.032130578671721879,0.16065289335860941,2.0563570349902003,3.3415801818590753,0.064261157343443759,0.0,0.0,0.064261157343443759,0.0,0.0,0.0,0.0,0.0,Dharmarakṣa and Nie Chengyuan
8459.0,0.82752098356779757,0.35465185010048467,0.11821728336682824,0.23643456673365648,0.23643456673365648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dharmodgata
10831.0,0.830948204228603,0.0,0.0,0.46163789123811283,0.55396546948573533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dharmāgatayaśas
57331.0,0.034885140674329775,0.1395405626973191,0.26163855505747324,1.5349461896705099,0.29652369573180304,0.017442570337164887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fa Ju
29404.0,0.39110325125833217,0.051013467555434636,0.32308529451775264,0.71418854577608482,1.3433546456264456,0.35709427288804241,0.0,0.0,0.45912120799891171,0.0,0.0,0.0,0.0,0.0,Fa Ju and Fa Li
175920.5,0.16768938241989989,0.49596266495377173,0.13358306735144568,4.9240992380080773,0.25437626655222106,0.14353074257974482,0.0,0.0,0.079581401826393172,0.0,0.0,0.0,0.0,0.0,Faxian
18359.0,0.10893839533743667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10893839533743667,0.0,0.0,0.0,0.0,0.0,Faying
35422.0,0.3670035571113997,0.64931398565863019,0.084693128564169148,1.6938625712833832,0.56462085709446108,0.028231042854723054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fazhong
23165.0,0.043168573278653144,0.17267429311461258,0.34534858622922515,0.21584286639326569,0.6906971724584503,0.30218001295057195,0.0,0.0,0.6043600259011439,0.0,0.0,0.0,0.0,0.0,Gunavaddhi
115311.0,0.54201247062292413,0.54309649556417,0.09539419482963464,0.32195540755001689,1.3832158250297022,0.049865147297309016,0.0,0.0,0.056369296944784104,0.0,0.0,0.0,0.0,0.0,"Guṇabhadra, Baoyun, Puti, and Fayong"
33015.0,0.62092988035741326,0.21202483719521431,0.030289262456459184,0.22716946842344388,0.19688020596698472,0.015144631228229592,0.0,0.0,0.030289262456459184,0.0,0.0,0.0,0.0,0.0,Guṇabharman and Shi Xuanqing
56221.0,0.0088934739688016941,0.062254317781611848,0.0,1.0761103502250049,0.65811707369132533,0.0088934739688016941,0.0,0.0,0.017786947937603388,0.0,0.0,0.0,0.0,0.0,Guṇavarman
11502.5,0.0869376222560313,0.04346881112801565,0.0,0.2608128667680939,0.21734405564007825,0.04346881112801565,0.0,0.0,0.0869376222560313,0.0,0.0,0.0,0.0,0.0,Juqu
29020.0,0.48242591316333561,0.34458993797381116,0.37904893177119225,1.4817367332873881,0.75809786354238451,0.10337698139214335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kang Mengxiang
105491.0,0.758358532955418,0.15167170659108362,0.48345356475907897,2.9481187968641875,0.58772786304044888,0.075835853295541808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kang Senghui
