taisho_no,total_length,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000,century,attribution_analysis
T 532,14162,0.56489196441180622,0.0,0.0,0.21183448665442733,0.070611495551475778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 1011,3147,0.63552589768033052,0.0,0.0,1.271051795360661,0.63552589768033052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 169,1691,1.1827321111768185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 198,33980,0.32371983519717479,0.14714537963507945,0.23543260741612712,0.32371983519717479,0.91230135373749266,0.3825779870512066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 493,1983,1.0085728693898135,0.50428643469490675,0.50428643469490675,3.0257186081694405,2.017145738779627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 533,3226,0.61996280223186606,1.2399256044637321,0.0,1.8598884066955983,0.30998140111593303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 556,3795,0.52700922266139649,0.52700922266139649,0.52700922266139649,0.26350461133069825,0.52700922266139649,0.26350461133069825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 581,2340,0.42735042735042733,0.0,0.0,0.42735042735042733,2.9914529914529915,0.42735042735042733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 54,2227,0.0,1.7961383026493039,1.3471037269869781,0.0,0.0,0.44903457566232596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 790,12247,0.16330529925696088,0.40826324814240222,0.97983179554176525,3.7560218829101006,0.24495794888544131,0.081652649628480442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 87,2073,0.0,0.0,0.964785335262904,0.0,1.4471780028943559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 557,1350,0.0,0.0,1.4814814814814814,0.0,0.7407407407407407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 68,6085,0.0,0.657354149548069,1.3147082990961381,3.6154478225143794,0.16433853738701726,0.49301561216105172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Zhi Qian
T 152,105491,0.758358532955418,0.15167170659108362,0.48345356475907897,2.9481187968641875,0.58772786304044888,0.075835853295541808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Kang Senghui
T 221,280006,0.26428005114176129,0.58927308700527847,0.24642329092948007,0.56070227066562861,0.36427790833053575,0.039284872467018568,0.0,0.0,0.010714056127368699,0.0,0.0,0.0,0.0,0.0,3,Mokṣala
T 222,126858,0.17342225165145281,0.19707074051301454,0.44932128836967317,1.1903072726986079,5.470683756641284,0.12612527392832931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 425,108635,0.13807704699222165,0.00920513646614811,0.027615409398444334,0.20251300225525842,3.2770285819487275,0.018410272932296221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 263,120792,0.43049208556858071,0.066229551625935482,0.099344327438903243,0.44704947347506457,0.75336114974501622,0.12418040929862906,0.0,0.0,0.01655738790648387,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 186,88016,0.46582439556444283,0.14770041810579893,0.28403926558807491,0.56807853117614981,0.46582439556444283,0.056807853117614979,0.0,0.0,0.079530994364660976,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 398,72860,0.12352456766401317,0.013724951962668132,0.67252264617073843,0.61762283832006593,1.880318418885534,0.12352456766401317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 292,73592,0.2174149364061311,0.013588433525383194,0.081530601152299167,0.47559517338841178,6.3322100228285683,0.027176867050766388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 585,62703,0.82930641277131878,0.33491220515764797,0.28706760442084112,2.248696234629922,1.9456804299634787,0.015948200245602284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 606,83901,0.059594045362987333,0.17878213608896198,0.25029499052454679,1.5613639885102681,3.1704032133109257,0.047675236290389861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 285,63723,0.502173469547887,0.078464604616857336,0.094157525540228812,0.39232302308428668,0.58063807416474433,0.031385841846742937,0.0,0.0,0.047078762770114406,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 627,43251,0.97107581327599357,0.13872511618228478,0.092483410788189876,0.76298813900256646,1.8496682157637974,0.092483410788189876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 477,13358,0.67375355592154518,0.074861506213505014,0.0,0.59889204970804011,0.44916903728103014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 318,20932,0.33441620485381235,0.23886871775272311,0.38218994840435694,1.0987961016625263,1.3854385629657939,0.095547487101089235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 635,34752,0.34530386740331492,0.40285451197053407,0.17265193370165746,1.1797882136279927,4.6616022099447516,0.14387661141804789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 461,26026,0.34580803811573041,0.57634673019288407,0.38423115346192271,1.8827326519634211,1.6906170752324599,0.42265426880811496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 810,28442,0.17579635749947262,0.35159271499894523,0.35159271499894523,0.17579635749947262,2.9182195344912452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
T 381,28575,0.41994750656167978,0.034995625546806651,0.10498687664041995,1.9947506561679789,2.1697287839020123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,Dharmarakṣa
