century,length_average,not_in_shanzai_frequency1000,ye2_frequency1000,er3_frequency1000,ye3_frequency1000,wei4_frequency1000,bei_frequency1000,hezhe_frequency1000,hedengren_frequency1000,cun_frequency1000,tian_frequency1000,sixiang_frequency1000,di_frequency1000,shigu_frequency1000,yiqie_frequency1000
2,13425.04,0.39627442450823241,0.1191802780475887,0.28007365341183343,0.99217581474617578,1.1202946136473337,0.017877041707138303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,25548.159090909074,0.41143330910695397,0.22417555436746464,0.24063288673174282,0.95674924096114389,1.8983755278578158,0.075169977555757009,0.0,0.0,0.0088958553320422473,0.0022239638330105618,0.0,0.0,0.0,0.0
4,169860.99999999997,0.282237691233351,1.4960329154945724,0.10146704727775686,1.6148151585535162,3.7033740736803136,0.064066224390392557,0.0,0.0,0.16068501684941702,0.0,0.0,0.00034630391562374355,0.0,0.0
5,131714.2808988764,0.23126326127604602,0.71579860766038439,0.074471717850973132,0.71375127521087312,0.86115921157568587,0.067050137721494707,0.0,0.0,0.067817887390061449,0.0,0.0,0.0,0.0,0.0
